Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,054,381",-,-,"$822,054,381",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,F9: The Fast Saga,"$661,357,145","$171,034,145",25.9%,"$490,323,000",74.1%
4,Godzilla vs. Kong,"$467,463,133","$100,563,133",21.5%,"$366,900,000",78.5%
5,Black Widow,"$359,758,784","$174,358,784",48.5%,"$185,400,000",51.5%
6,A Quiet Place Part II,"$294,991,550","$159,391,550",54%,"$135,600,000",46%
7,Cruella,"$221,793,503","$85,693,503",38.6%,"$136,100,000",61.4%
8,The Conjuring: The Devil Made Me Do It,"$197,461,252","$65,161,252",33%,"$132,300,000",67%
9,Impasse,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
10,Chinese Doctors,"$176,619,381",-,-,"$176,619,381",100%
11,Peter Rabbit 2: The Runaway,"$153,675,345","$40,275,345",26.2%,"$113,400,000",73.8%
12,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%
13,Space Jam: A New Legacy,"$135,471,000","$65,671,000",48.5%,"$69,800,000",51.5%
14,Sister,"$128,292,175",-,-,"$128,292,175",100%
15,Tom and Jerry,"$126,841,123","$46,041,123",36.3%,"$80,800,000",63.7%
16,Raya and the Last Dragon,"$122,587,017","$54,722,006",44.6%,"$67,865,011",55.4%
17,Jungle Cruise,"$121,817,454","$65,317,454",53.6%,"$56,500,000",46.4%
18,My Love,"$113,717,293","$86,252",<0.1%,"$113,631,041",99.9%
19,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%
20,Detective Conan: The Scarlet Bullet,"$95,659,979",-,-,"$95,659,979",100%
21,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,-,"$92,246,218",100%
22,End Game,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
23,Mortal Kombat,"$83,601,013","$42,201,013",50.5%,"$41,400,000",49.5%
24,Boonie Bears: The Wild Life,"$77,754,951",-,-,"$77,754,951",100%
25,The Boss Baby: Family Business,"$77,504,715","$55,160,715",71.2%,"$22,344,000",28.8%
26,1921,"$75,159,828",-,-,"$75,159,828",100%
27,The Suicide Squad,"$72,200,000","$26,500,000",36.7%,"$45,700,000",63.3%
28,The Forever Purge,"$67,977,250","$43,749,250",64.4%,"$24,228,000",35.6%
29,Hitman's Wife's Bodyguard,"$66,592,294","$37,915,032",56.9%,"$28,677,262",43.1%
30,Old,"$65,189,145","$38,523,145",59.1%,"$26,666,000",40.9%
31,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
32,White Snake 2: Green Snake,"$56,800,000",-,-,"$56,800,000",100%
33,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
34,Nobody,"$55,405,035","$27,268,035",49.2%,"$28,137,000",50.8%
35,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
36,Man in Love,"$52,483,498",-,-,"$52,483,498",100%
37,Love Will Tear Us Apart,"$44,972,521",-,-,"$44,972,521",100%
38,In the Heights,"$42,946,723","$29,746,723",69.3%,"$13,200,000",30.7%
39,Spirit Untamed,"$38,571,215","$17,635,215",45.7%,"$20,936,000",54.3%
40,Spiral,"$38,347,927","$23,216,862",60.5%,"$15,131,065",39.5%
41,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
42,Raging Fire,"$37,200,000",-,-,"$37,200,000",100%
43,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
44,I Fell in Love Like A Flower Bouquet,"$34,963,784",-,-,"$34,963,784",100%
45,Escape Room: Tournament of Champions,"$33,540,370","$23,040,370",68.7%,"$10,500,000",31.3%
46,Snake Eyes,"$33,401,972","$26,001,972",77.8%,"$7,400,000",22.2%
47,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
48,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
49,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
50,The Unholy,"$30,830,440","$15,530,440",50.4%,"$15,300,000",49.6%
51,Belle: The Dragon and the Freckled Princess,"$30,228,864",-,-,"$30,228,864",100%
52,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
53,Master,"$28,692,230",-,-,"$28,692,230",100%
54,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
55,Nomadland,"$26,954,622","$2,143,000",8%,"$24,811,622",92%
56,Chaos Walking,"$25,212,955","$13,287,908",52.7%,"$11,925,047",47.3%
57,Tokyo Revengers,"$25,208,024",-,-,"$25,208,024",100%
58,Those Who Wish Me Dead,"$23,386,392","$7,347,103",31.4%,"$16,039,289",68.6%
59,The Marksman,"$22,983,473","$15,566,093",67.7%,"$7,417,380",32.3%
60,The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%
61,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
62,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
63,Luca,"$21,000,000",-,-,"$21,000,000",100%
64,Upcoming,"$20,600,000",-,-,"$20,600,000",100%
65,The Courier,"$19,403,127","$6,613,432",34.1%,"$12,789,695",65.9%
66,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
67,Mobile Suit Gundam: Hathaway,"$17,676,341",-,-,"$17,676,341",100%
68,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
69,Gintama: The Final,"$17,206,454",-,-,"$17,206,454",100%
70,The Dry,"$17,035,075","$364,237",2.1%,"$16,670,838",97.9%
71,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
72,Heavily in Love 2,"$15,204,017",-,-,"$15,204,017",100%
73,Minari,"$15,010,438","$3,110,580",20.7%,"$11,899,858",79.3%
74,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
75,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
76,No Escapes,"$12,812,891",-,-,"$12,812,891",100%
77,Character,"$12,571,501",-,-,"$12,571,501",100%
78,The Green Knight,"$12,167,727","$12,167,727",100%,-,-
79,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
80,Kaamelott: First Installment,"$12,018,944","$188,000",1.6%,"$11,830,944",98.4%
81,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
82,Krack,"$10,442,916",-,-,"$10,442,916",100%
83,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
84,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
85,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
86,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
87,Stillwater,"$10,000,070","$10,000,070",100%,-,-
88,The Soul,"$9,600,000",-,-,"$9,600,000",100%
89,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
90,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
91,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
92,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
93,Hard Hit,"$7,901,585",-,-,"$7,901,585",100%
94,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
95,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
96,The Medium,"$7,395,600",-,-,"$7,395,600",100%
97,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
98,Dad,"$7,200,771",-,-,"$7,200,771",100%
99,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
100,Honey Lemon Soda,"$7,004,178",-,-,"$7,004,178",100%
101,Are You Lonesome Tonight?,"$6,900,000",-,-,"$6,900,000",100%
102,Judas and the Black Messiah,"$6,795,355","$5,446,607",80.2%,"$1,348,748",19.8%
103,Face Off: 48H,"$6,781,370",-,-,"$6,781,370",100%
104,Silver Skates,"$6,700,272",-,-,"$6,700,272",100%
105,Escape from Mogadishu,"$6,575,236",-,-,"$6,575,236",100%
106,The Mauritanian,"$6,533,312","$836,536",12.8%,"$5,696,776",87.2%
107,Dream Horse,"$6,468,351","$2,865,644",44.3%,"$3,602,707",55.7%
108,Island Keeper,"$6,410,000",-,-,"$6,410,000",100%
109,¡A todo tren! Destino Asturias,"$6,250,242",-,-,"$6,250,242",100%
110,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
111,The Hobbit: The Battle of the Five Armies 2020 Re-release,"$6,163,077",-,-,"$6,163,077",100%
112,Penguin Bloom,"$6,154,872",-,-,"$6,154,872",100%
113,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
114,Suicide Forest Village,"$5,649,792",-,-,"$5,649,792",100%
115,Extinct,"$5,649,475",-,-,"$5,649,475",100%
116,Secret Magic Control Agency,"$5,631,112",-,-,"$5,631,112",100%
117,Chernobyl: Abyss,"$5,538,706",-,-,"$5,538,706",100%
118,Octonauts: The Ring of Fire,"$5,512,875",-,-,"$5,512,875",100%
119,Hell's Garden,"$5,450,978",-,-,"$5,450,978",100%
120,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
121,Beautiful Lure: A Modern Tale of Painted Skin,"$5,239,977",-,-,"$5,239,977",100%
122,Poly,"$5,236,154",-,-,"$5,236,154",100%
123,Son of Morning,"$5,075,369",-,-,"$5,075,369",100%
124,Forever Passion,"$5,060,000",-,-,"$5,060,000",100%
125,Roadrunner: A Film About Anthony Bourdain,"$4,976,080","$4,976,080",100%,-,-
